problem,algorithm,best,median,mean,std,worst,feas_rate,mean_gap
CantileverBeam,AOA,1.3408327395411221,1.3464839288200836,1.3469790423772463,0.004759664625164222,1.357100641928408,1.0,0.0052400481755888765
CantileverBeam,CMAES,1.3399563570991964,1.3399563587366534,1.3399563585828984,9.265418466039723e-10,1.339956360138463,1.0,0.0
CantileverBeam,DE,1.3399563586232601,1.339956360803452,1.3399563638052312,7.78929825735418e-09,1.339956390056434,1.0,0.0
CantileverBeam,GWO,1.3399854108262912,1.3400837062917508,1.3400970958902099,8.486652083128691e-05,1.3403095106613532,1.0,0.00010410470466361178
CantileverBeam,HHO,1.3762446830687143,1.6066325053912263,1.676187049719444,0.30032709957433806,2.63834375405392,1.0,0.2509254395209549
CantileverBeam,LSHADE,1.339956356135317,1.3399563562679906,1.3399563562672778,1.0587516707153295e-10,1.3399563564796702,1.0,0.0
CantileverBeam,PSO,1.339958446849,1.339966912907412,1.3399708900607092,1.2752432882284005e-05,1.340012820034362,1.0,9.918269584953962e-06
CantileverBeam,RS,2.2465940702353637,3.20179230410801,3.112058834810293,0.4048437832223449,3.970803189070152,1.0,1.3225054545086303
CantileverBeam,SCA,1.3555705318823088,1.4144929903199919,1.4095097373318766,0.02757621098621945,1.4638820025071335,1.0,0.05190622250426182
CantileverBeam,SSA,1.3399630821269202,1.3400128287438449,1.3400616703857597,0.00011468746253653852,1.340449008004707,1.0,7.766692450534618e-05
CantileverBeam,WOA,1.3400186774011082,1.3401359270252582,1.340228526714106,0.00022772989608299765,1.34081398229627,1.0,0.0002021905126746141
DiscBrake,AOA,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,CMAES,0.08331503717320131,0.12497255575980196,0.12163995427287391,0.011534444598713672,0.12497255575980196,1.0,0.0
DiscBrake,DE,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,GWO,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,HHO,0.08331503717320131,0.12497255575980196,0.12477456002440211,0.049887883752117744,0.3128724690080689,1.0,0.013200001786764068
DiscBrake,LSHADE,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,PSO,0.08331503717320131,0.08331503717320131,0.08998024014705741,0.01558681621342271,0.12497255575980196,1.0,0.0
DiscBrake,RS,0.09218563818987746,0.11938554738465788,0.11667731858807487,0.01328705504739852,0.13666116538674816,1.0,0.0
DiscBrake,SCA,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,SSA,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,WOA,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
GearTrain,AOA,8.887614372714457e-10,3.2999231605492454e-09,8.580306796303548e-09,1.0239408568348152e-08,2.7264505977152865e-08,1.0,10.0
GearTrain,CMAES,2.7008571488865134e-12,1.3616491390639914e-09,1.020236550061826e-08,3.055502490600407e-08,1.5244017941425803e-07,1.0,9.305354096773412
GearTrain,DE,2.7008571488865134e-12,2.307815733312755e-11,5.86795383157266e-11,1.7613393469975065e-10,8.887614372714457e-10,1.0,5.123201086018115
GearTrain,GWO,2.7008571488865134e-12,8.887614372714457e-10,6.840034083569032e-10,6.92315699841066e-10,2.3576406580248844e-09,1.0,8.014277591395762
GearTrain,HHO,2.307815733312755e-11,6.5122649104987376e-09,0.00016134022879266957,0.0005695983279901748,0.002406295755860795,1.0,9.80356939784894
GearTrain,LSHADE,2.7008571488865134e-12,2.7008571488865134e-12,2.5940211113670622e-11,6.299640044589377e-11,3.0675558516235034e-10,1.0,3.214277591395763
